"Bin","TaxonRelativeAbundance","Domain","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"Bin58",5.98239675834921e-06,"Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota"
"Bin9",4.49425383998655e-06,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","Xanthophyceae","Mischococcales","norank_o__Mischococcales","unclassified_f__norank_o__Mischococcales","unclassified_f__norank_o__Mischococcales"
"Bin42",3.06899100474198e-06,"Eukaryota","Fungi","unclassified_k__Fungi","unclassified_k__Fungi","unclassified_k__Fungi","unclassified_k__Fungi","unclassified_k__Fungi","unclassified_k__Fungi"
"Bin6",3.50081218842772e-06,"Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota"
"Bin50",5.95542527732842e-06,"Eukaryota","Fungi","unclassified_k__Fungi","unclassified_k__Fungi","unclassified_k__Fungi","unclassified_k__Fungi","unclassified_k__Fungi","unclassified_k__Fungi"
"Bin54",1.5559165281901e-06,"Eukaryota","Fungi","LKM15","norank_p__LKM15","norank_p__LKM15","norank_p__LKM15","norank_p__LKM15","unclassified_g__norank_p__LKM15"
"Bin70",1.05024365652831e-05,"Eukaryota","Animalia","Tardigrada","Eutardigrada","Parachela","norank_o__Parachela","norank_o__Parachela","unclassified_g__norank_o__Parachela"
"Bin75",1.36657477899626e-05,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","Imbricatea","norank_c__Imbricatea","Thaumatomonadida","norank_f__Thaumatomonadida","Thaumatomonas_seravini"
"Bin55",3.73901920760317e-06,"Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota"
"Bin55",6.22366611276038e-06,"Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota"
"Bin57",3.88979132047524e-06,"Eukaryota","Fungi","unclassified_k__Fungi","unclassified_k__Fungi","unclassified_k__Fungi","unclassified_k__Fungi","unclassified_k__Fungi","unclassified_k__Fungi"
"Bin68",1.0762889542416e-05,"Eukaryota","norank_d__Eukaryota","Aphelidea","norank_p__Aphelidea","norank_p__Aphelidea","norank_p__Aphelidea","norank_p__Aphelidea","uncultured_Chytridiomycota_p__Aphelidea"
