OTU ID	Domain	Phylum	Class	Order	Family	Genus
OTU8173	Bacteria	Pseudomonadota	Gammaproteobacteria	Gammaproteobacteria_	norank_o__Gammaproteobacteria_	Candidatus_Ovatusbacter
OTU8174	Bacteria	Bacillota	Clostridia	Clostridiales	Oxobacteraceae	Oxobacter
OTU8175	Bacteria	Dependentiae	Babeliae	Babeliales	Babeliaceae	unclassified_f__Babeliaceae
OTU8176	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	norank_o__0319-6G20	norank_o__0319-6G20
OTU8177	Bacteria	Bacillota	Desulfitobacteriia	Desulfitobacteriales	Heliobacteriaceae	norank_f__Heliobacteriaceae
OTU8178	Bacteria	Chlamydiota	Chlamydiia	Chlamydiales	Parachlamydiaceae	norank_f__Parachlamydiaceae
OTU8179	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	unclassified_o__Hyphomicrobiales	unclassified_o__Hyphomicrobiales
OTU8180	Bacteria	Thermodesulfobacteriota	Syntrophobacteria	Syntrophobacterales	norank_o__Syntrophobacterales	norank_o__Syntrophobacterales
OTU8181	Bacteria	Thermodesulfobacteriota	Syntrophobacteria	Syntrophobacterales	Syntrophobacteraceae	Syntrophobacter
OTU8182	Bacteria	Bacillota	Clostridia	Clostridiales	Clostridiaceae	Clostridium
OTU8183	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	TRA3-20	norank_f__TRA3-20
OTU8184	Bacteria	Chlamydiota	Chlamydiia	Chlamydiales	Waddliaceae	Waddlia
OTU8185	Bacteria	Chloroflexota	Anaerolineae	Anaerolineales	Anaerolineaceae	Longilinea
OTU8186	Bacteria	Patescibacteria	Parcubacteria	Candidatus_Moranbacteria	norank_o__Candidatus_Moranbacteria	norank_o__Candidatus_Moranbacteria
OTU8187	Bacteria	Chloroflexota	Anaerolineae	SJA-15	norank_o__SJA-15	norank_o__SJA-15
OTU8188	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	SC-I-84	norank_f__SC-I-84
OTU8189	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	Ruminiclostridium
OTU8190	Bacteria	Actinomycetota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus
OTU8191	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Parageobacillus
OTU8192	Bacteria	Thermodesulfobacteriota	Desulfobaccia	Desulfobaccales	Desulfobaccaceae	Desulfobacca
OTU8193	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Comamonadaceae	unclassified_f__Comamonadaceae
OTU8194	Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	Blastocatella
OTU8195	Bacteria	Pseudomonadota	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella
OTU8196	Bacteria	Chloroflexota	Chloroflexia	Thermomicrobiales	JG30-KF-CM45	norank_f__JG30-KF-CM45
OTU8197	Bacteria	Cyanobacteriota	Cyanobacteriia	Chloroplast	norank_o__Chloroplast	norank_o__Chloroplast
OTU8198	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Thauera
OTU8199	Bacteria	Chlamydiota	Chlamydiia	Chlamydiales	Parachlamydiaceae	Neochlamydia
OTU8200	Bacteria	Pseudomonadota	Gammaproteobacteria	Rickettsiellales	Rickettsiellaceae	Aquicella
OTU8201	Bacteria	Myxococcota	Polyangiia	Blfdi19	norank_o__Blfdi19	norank_o__Blfdi19
