SpeciesID	S1_10B	S2_10Z	S3_10D	S4_11B	S5_11Z	S6_11D	S7_12B	S8_12Z	S9_12D	S10_1B	S11_1Z	S12_1D	S13_2B	S14_2Z	S15_2D	S16_3B	S17_3Z	S18_3D	S19_4B	S20_4Z	S21_4D	S22_5B	S23_5Z	S24_5D	S25_6B	S26_6Z	S27_6D	S28_7B	S29_7Z	S30_7D	S31_8B	S32_8Z	S33_8D	S34_9B	S35_9Z	S36_9D
OTU374	3	0	2	17	26	23	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1
OTU375	0	0	0	0	3	0	109	114	91	76	37	15	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU376	8	1	5	41	49	39	91	75	59	29	55	13	91	79	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU377	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU378	5	3	10	31	33	22	5	9	2	1	2	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	3
OTU379	0	0	0	0	0	0	4	12	2	69	53	11	30	42	42	0	1	0	0	1	0	0	1	0	0	0	0	2	3	0	0	0	0	2	1	0
OTU380	50	35	68	13	27	17	20	19	18	14	16	14	25	31	28	0	20	6	0	20	6	0	0	0	0	0	0	1	0	1	0	0	0	5	1	9
OTU381	0	0	1	0	0	0	11	31	21	37	58	24	98	142	77	0	8	3	0	8	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU382	4	5	13	2	7	1	3	9	13	53	113	45	34	7	39	0	0	6	0	0	6	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
OTU383	15	39	117	31	55	41	178	75	141	189	227	172	32	33	46	1	0	2	1	0	2	1	0	0	0	0	0	0	2	0	0	0	23	173	125	124
OTU384	2055	1857	1670	1146	1217	1163	1193	1107	987	471	501	364	928	816	644	99	629	330	99	629	330	2	2	0	0	0	0	41	168	23	0	0	32	1	0	0
OTU385	4	1	0	0	0	1	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	3
OTU386	1	0	0	0	0	0	0	0	1	0	4	0	0	0	0	3	0	0	3	0	0	1	0	0	1	4	0	3	0	2	0	0	4	0	0	0
